task_id,asset_id,asset_type,corridor_id,location_km,equipment_type,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,reported_date,due_date,overdue_days,estimated_duration_min,required_team_size,maintenance_type,power_isolation_required,possession_required,status
TDMS000703,AST011271,Insulator,C00046,6.4,Insulator,Insulator defect,Critical,3,4,3,2025-03-22,2025-03-27,0,59,5,Corrective,Yes,Yes,Completed
TDMS000704,AST009565,Catenary,C00048,55.8,Catenary Wire,Catenary sag,Low,3,1,1,2025-06-26,2025-08-07,0,154,5,Preventive,Yes,Yes,Open
TDMS000705,AST010344,Jumper,C00019,140.0,Jumper Wire,Loose jumper,Medium,4,3,3,2025-06-27,2025-07-23,0,109,4,Preventive,Yes,Yes,Completed
TDMS000706,AST011581,Transformer,C00084,241.7,Traction Transformer,Transformer inspection,High,4,5,3,2025-06-16,2025-06-26,0,196,4,Inspection,Yes,Yes,Completed
TDMS000707,AST009656,Insulator,C00020,29.7,Insulator,Insulator defect,Critical,4,5,2,2025-06-07,2025-06-11,20,133,2,Corrective,Yes,Yes,Open
TDMS000708,AST010751,Feeder,C00050,1.3,Feeder Line,Feeder fault,Medium,4,3,2,2025-05-22,2025-06-14,17,198,1,Preventive,Yes,Yes,Scheduled
TDMS000709,AST009303,Jumper,C00016,12.3,Jumper Wire,Loose jumper,Medium,2,3,1,2025-06-21,2025-07-17,0,72,3,Preventive,Yes,Yes,Open
TDMS000710,AST009632,Insulator,C00014,47.5,Insulator,Insulator defect,Medium,2,4,1,2025-03-22,2025-04-12,80,119,5,Preventive,Yes,Yes,Scheduled
TDMS000711,AST011300,Section Insulator,C00100,8.7,Section Insulator,Section insulator wear,Medium,2,3,2,2025-06-19,2025-07-07,0,161,2,Preventive,Yes,Yes,Open
TDMS000712,AST011259,Insulator,C00071,7.1,Insulator,Insulator defect,Low,4,2,1,2025-04-21,2025-06-02,29,114,3,Preventive,Yes,Yes,Scheduled
TDMS000713,AST010330,Insulator,C00064,110.9,Insulator,Insulator defect,Critical,4,5,5,2025-05-20,2025-05-23,39,195,5,Corrective,Yes,Yes,Open
TDMS000714,AST008972,Mast,C00071,18.8,OHE Mast,Mast defect,Low,3,2,1,2025-04-06,2025-05-20,42,124,6,Preventive,No,Yes,Open
TDMS000715,AST010201,Feeder,C00043,0.4,Feeder Line,Feeder fault,High,4,4,3,2025-06-21,2025-06-30,1,191,3,Corrective,No,Yes,Scheduled
TDMS000716,AST009027,Insulator,C00089,88.7,Insulator,Insulator defect,High,3,2,3,2025-06-21,2025-07-01,0,149,3,Corrective,No,Yes,Open
TDMS000717,AST009344,Catenary,C00099,11.9,Catenary Wire,Catenary sag,Medium,4,3,1,2025-05-28,2025-06-17,14,225,3,Preventive,Yes,Yes,Scheduled
TDMS000718,AST011099,Pantograph Interaction Zone,C00086,135.8,Pantograph Interaction Zone,OHE wear,High,4,3,4,2025-06-24,2025-07-03,0,228,4,Corrective,Yes,Yes,Open
TDMS000719,AST011398,Jumper,C00039,7.9,Jumper Wire,Loose jumper,Low,2,1,1,2025-06-20,2025-07-23,0,99,3,Preventive,Yes,Yes,Completed
TDMS000720,AST010316,Pantograph Interaction Zone,C00091,61.2,Pantograph Interaction Zone,OHE wear,Critical,3,5,5,2025-06-17,2025-06-20,11,259,4,Corrective,Yes,Yes,Open
TDMS000721,AST008656,Insulator,C00027,41.9,Insulator,Insulator defect,Medium,4,2,2,2025-06-11,2025-07-02,0,118,3,Preventive,Yes,Yes,Open
TDMS000722,AST010721,Feeder,C00068,127.4,Feeder Line,Feeder fault,Critical,5,4,3,2025-03-13,2025-03-16,107,194,5,Corrective,Yes,Yes,Open
TDMS000723,AST009437,Transformer,C00034,1.1,Traction Transformer,Transformer inspection,Medium,2,3,3,2025-05-16,2025-06-06,0,244,4,Inspection,Yes,No,Completed
TDMS000724,AST009425,Transformer,C00041,32.5,Traction Transformer,Transformer inspection,Medium,2,2,1,2025-06-16,2025-07-08,0,185,2,Inspection,Yes,Yes,Open
TDMS000725,AST011991,Transformer,C00051,57.1,Traction Transformer,Transformer inspection,Low,2,2,1,2025-06-06,2025-07-30,0,292,3,Inspection,Yes,Yes,Open
TDMS000726,AST010432,Mast,C00039,18.2,OHE Mast,Mast defect,Medium,3,2,1,2025-06-30,2025-07-24,0,108,3,Preventive,No,Yes,Open
TDMS000727,AST011819,Feeder,C00066,9.3,Feeder Line,Feeder fault,High,4,3,2,2025-05-14,2025-05-24,0,167,3,Corrective,Yes,Yes,Completed
TDMS000728,AST010226,Section Insulator,C00007,43.3,Section Insulator,Section insulator wear,Medium,4,3,2,2025-06-25,2025-07-15,0,114,2,Preventive,Yes,Yes,Scheduled
TDMS000729,AST010312,Feeder,C00034,16.6,Feeder Line,Feeder fault,High,2,4,2,2025-06-26,2025-07-08,0,177,4,Corrective,Yes,Yes,Open
TDMS000730,AST011019,Pantograph Interaction Zone,C00021,133.7,Pantograph Interaction Zone,OHE wear,Low,3,2,2,2025-06-25,2025-07-22,0,163,2,Preventive,Yes,Yes,Deferred
TDMS000731,AST011970,Mast,C00002,97.6,OHE Mast,Mast defect,Medium,3,3,1,2025-05-28,2025-06-16,15,170,2,Preventive,No,Yes,Open
TDMS000732,AST010079,Section Insulator,C00004,18.2,Section Insulator,Section insulator wear,High,2,3,2,2025-05-18,2025-05-24,38,101,2,Corrective,Yes,Yes,Open
TDMS000733,AST009414,Section Insulator,C00047,49.5,Section Insulator,Section insulator wear,High,3,3,4,2025-06-21,2025-07-02,0,105,3,Corrective,Yes,Yes,Open
TDMS000734,AST011002,Jumper,C00045,75.3,Jumper Wire,Loose jumper,High,4,4,2,2025-03-25,2025-04-03,89,130,2,Corrective,Yes,No,Scheduled
TDMS000735,AST010093,Transformer,C00082,19.4,Traction Transformer,Transformer inspection,Low,2,2,2,2025-06-03,2025-07-20,0,248,5,Inspection,Yes,Yes,In Progress
TDMS000736,AST010040,Insulator,C00070,22.0,Insulator,Insulator defect,Medium,3,4,2,2025-06-28,2025-07-19,0,70,3,Preventive,No,Yes,Open
TDMS000737,AST011733,OHE,C00002,65.0,Overhead Equipment,Preventive OHE maintenance,Low,3,1,2,2025-04-13,2025-05-24,0,144,3,Preventive,Yes,Yes,Completed
TDMS000738,AST010334,Section Insulator,C00100,9.1,Section Insulator,Section insulator wear,High,4,4,4,2025-03-20,2025-03-27,96,185,2,Corrective,Yes,Yes,Deferred
TDMS000739,AST010073,Jumper,C00086,218.6,Jumper Wire,Loose jumper,Medium,3,3,1,2025-06-25,2025-07-17,0,45,1,Preventive,Yes,Yes,In Progress
TDMS000740,AST008802,Feeder,C00055,106.2,Feeder Line,Feeder fault,Low,4,2,1,2025-05-30,2025-07-04,0,160,7,Preventive,Yes,Yes,Deferred
TDMS000741,AST011571,Pantograph Interaction Zone,C00052,191.9,Pantograph Interaction Zone,OHE wear,Medium,2,3,2,2025-06-07,2025-06-28,3,148,3,Preventive,Yes,No,Open
TDMS000742,AST011677,Pantograph Interaction Zone,C00054,22.9,Pantograph Interaction Zone,OHE wear,Medium,2,4,2,2025-06-08,2025-07-01,0,132,5,Preventive,Yes,Yes,Open
TDMS000743,AST010221,Jumper,C00092,89.9,Jumper Wire,Loose jumper,Medium,4,3,2,2025-06-04,2025-06-20,11,59,3,Preventive,Yes,No,Deferred
TDMS000744,AST009583,OHE,C00002,89.7,Overhead Equipment,OHE wear,Medium,3,2,2,2025-06-24,2025-07-22,0,123,2,Preventive,Yes,Yes,Deferred
TDMS000745,AST009817,Mast,C00053,55.8,OHE Mast,Mast defect,Low,2,1,2,2025-03-06,2025-04-24,68,196,1,Preventive,Yes,Yes,Scheduled
TDMS000746,AST009303,Jumper,C00016,12.3,Jumper Wire,Loose jumper,Medium,3,2,2,2025-04-12,2025-05-03,59,38,3,Preventive,Yes,Yes,In Progress
TDMS000747,AST008856,Mast,C00030,55.4,OHE Mast,Mast defect,Low,3,4,1,2025-04-09,2025-05-28,34,81,3,Preventive,No,Yes,Open
TDMS000748,AST011510,Insulator,C00088,80.5,Insulator,Insulator defect,Low,3,2,2,2025-04-27,2025-06-09,22,151,4,Preventive,Yes,No,Open
TDMS000749,AST011397,Jumper,C00088,54.0,Jumper Wire,Loose jumper,Medium,3,4,2,2025-06-16,2025-07-09,0,137,3,Preventive,No,Yes,In Progress
TDMS000750,AST009840,Mast,C00036,40.6,OHE Mast,Mast defect,Low,2,2,2,2025-06-07,2025-07-08,0,160,3,Preventive,No,Yes,Open
TDMS000751,AST011991,Transformer,C00051,57.1,Traction Transformer,Transformer inspection,Medium,1,2,2,2025-06-27,2025-07-15,0,214,3,Inspection,Yes,Yes,Completed
TDMS000752,AST010170,Catenary,C00043,2.3,Catenary Wire,Catenary sag,Critical,4,5,3,2025-06-18,2025-06-19,0,250,5,Corrective,Yes,No,Completed
TDMS000753,AST011835,Transformer,C00074,14.9,Traction Transformer,Transformer inspection,High,3,3,2,2025-06-19,2025-06-28,3,222,3,Inspection,Yes,Yes,Open
TDMS000754,AST009076,Mast,C00067,99.3,OHE Mast,Mast defect,High,4,3,2,2025-06-17,2025-06-27,0,203,3,Corrective,No,Yes,Completed
TDMS000755,AST009928,Section Insulator,C00082,54.6,Section Insulator,Section insulator wear,Medium,3,2,4,2025-06-17,2025-07-09,0,80,4,Preventive,Yes,Yes,Open
TDMS000756,AST011569,Insulator,C00067,121.8,Insulator,Insulator defect,Low,3,2,1,2025-05-24,2025-07-08,0,120,4,Preventive,Yes,Yes,Completed
TDMS000757,AST009724,Catenary,C00071,1.7,Catenary Wire,Catenary sag,Medium,2,3,1,2025-06-19,2025-07-16,0,166,5,Preventive,No,Yes,Open
TDMS000758,AST011967,OHE,C00100,7.8,Overhead Equipment,OHE wear,Low,4,2,3,2025-04-15,2025-05-12,50,253,4,Preventive,Yes,Yes,Scheduled
TDMS000759,AST010925,Transformer,C00036,24.5,Traction Transformer,Transformer inspection,High,4,4,3,2025-06-09,2025-06-15,16,257,3,Inspection,No,No,Open
TDMS000760,AST010897,OHE,C00049,94.9,Overhead Equipment,Preventive OHE maintenance,High,2,3,3,2025-04-17,2025-04-26,66,123,3,Preventive,Yes,Yes,Scheduled
TDMS000761,AST010730,Transformer,C00058,26.9,Traction Transformer,Transformer inspection,Low,3,2,2,2025-06-05,2025-07-25,0,252,4,Inspection,Yes,Yes,Scheduled
TDMS000762,AST011253,OHE,C00010,54.5,Overhead Equipment,OHE wear,High,3,3,2,2025-06-29,2025-07-12,0,159,3,Corrective,Yes,Yes,Open
TDMS000763,AST009329,Catenary,C00027,43.9,Catenary Wire,Catenary sag,High,3,4,3,2025-05-30,2025-06-04,27,112,4,Corrective,Yes,Yes,Open
TDMS000764,AST011156,Insulator,C00058,51.7,Insulator,Insulator defect,Low,3,3,1,2025-06-30,2025-08-10,0,85,3,Preventive,Yes,Yes,Scheduled
TDMS000765,AST009895,OHE,C00048,58.0,Overhead Equipment,OHE wear,Medium,4,3,1,2025-05-25,2025-06-07,24,169,4,Preventive,Yes,Yes,Open
TDMS000766,AST011152,Transformer,C00077,7.2,Traction Transformer,Transformer inspection,High,3,4,2,2025-03-26,2025-04-06,86,296,1,Inspection,Yes,No,Scheduled
TDMS000767,AST010832,Insulator,C00052,190.3,Insulator,Insulator defect,Low,3,2,1,2025-05-30,2025-07-11,0,128,5,Preventive,Yes,Yes,Completed
TDMS000768,AST011606,Mast,C00071,3.6,OHE Mast,Mast defect,Low,2,2,3,2025-06-19,2025-07-21,0,62,1,Preventive,No,Yes,Open
TDMS000769,AST010451,Transformer,C00035,74.4,Traction Transformer,Transformer inspection,High,4,3,2,2025-05-23,2025-06-03,28,263,2,Inspection,Yes,Yes,Open
TDMS000770,AST009478,Jumper,C00023,38.2,Jumper Wire,Loose jumper,Low,3,2,2,2025-04-24,2025-05-28,34,117,2,Preventive,Yes,Yes,Open
TDMS000771,AST011206,OHE,C00004,63.5,Overhead Equipment,Preventive OHE maintenance,Low,2,2,1,2025-06-12,2025-07-26,0,155,3,Preventive,Yes,Yes,Completed
TDMS000772,AST009321,OHE,C00054,38.1,Overhead Equipment,OHE wear,Medium,2,3,1,2025-03-03,2025-03-25,0,127,4,Preventive,Yes,Yes,Completed
TDMS000773,AST010882,OHE,C00024,94.9,Overhead Equipment,Preventive OHE maintenance,Low,1,1,1,2025-06-21,2025-08-01,0,147,3,Preventive,Yes,Yes,Scheduled
TDMS000774,AST011627,Pantograph Interaction Zone,C00046,10.2,Pantograph Interaction Zone,OHE wear,Medium,3,4,2,2025-05-20,2025-06-14,0,169,4,Preventive,Yes,Yes,Completed
TDMS000775,AST009895,OHE,C00048,58.0,Overhead Equipment,Preventive OHE maintenance,High,5,4,2,2025-03-20,2025-03-28,95,150,3,Preventive,Yes,Yes,In Progress
TDMS000776,AST011638,Jumper,C00029,39.6,Jumper Wire,Loose jumper,High,3,4,3,2025-06-12,2025-06-24,0,136,2,Corrective,Yes,Yes,Completed
TDMS000777,AST011527,Jumper,C00076,122.3,Jumper Wire,Loose jumper,Low,3,1,1,2025-03-07,2025-04-25,67,35,3,Preventive,Yes,Yes,In Progress
TDMS000778,AST010197,Section Insulator,C00099,3.6,Section Insulator,Section insulator wear,Medium,1,3,2,2025-06-30,2025-07-22,0,101,2,Preventive,Yes,Yes,Scheduled
TDMS000779,AST010209,Jumper,C00080,65.1,Jumper Wire,Loose jumper,Medium,3,3,2,2025-03-21,2025-04-07,85,86,3,Preventive,Yes,Yes,Scheduled
TDMS000780,AST009298,Jumper,C00045,107.9,Jumper Wire,Loose jumper,Low,4,2,2,2025-06-19,2025-08-03,0,143,3,Preventive,Yes,Yes,Scheduled
TDMS000781,AST011721,Catenary,C00067,34.7,Catenary Wire,Catenary sag,Medium,2,3,1,2025-03-29,2025-04-22,70,202,4,Preventive,Yes,Yes,Open
TDMS000782,AST010968,Transformer,C00046,26.9,Traction Transformer,Transformer inspection,Medium,3,1,1,2025-06-18,2025-07-03,0,256,3,Inspection,Yes,Yes,In Progress
TDMS000783,AST010088,Feeder,C00010,74.1,Feeder Line,Feeder fault,Low,2,1,2,2025-06-25,2025-07-30,0,121,3,Preventive,Yes,Yes,Completed
TDMS000784,AST009431,Section Insulator,C00082,102.4,Section Insulator,Section insulator wear,High,4,4,2,2025-05-10,2025-05-17,45,103,3,Corrective,Yes,Yes,Open
TDMS000785,AST010540,Jumper,C00088,52.7,Jumper Wire,Loose jumper,Medium,3,3,2,2025-06-04,2025-06-23,8,105,2,Preventive,Yes,Yes,Deferred
TDMS000786,AST010248,Section Insulator,C00099,7.7,Section Insulator,Section insulator wear,High,2,3,3,2025-06-03,2025-06-11,0,105,2,Corrective,Yes,Yes,Completed
TDMS000787,AST010884,Insulator,C00047,24.7,Insulator,Insulator defect,Critical,4,4,5,2025-05-23,2025-05-25,37,167,4,Corrective,Yes,Yes,Scheduled
TDMS000788,AST011850,OHE,C00037,45.0,Overhead Equipment,Preventive OHE maintenance,Low,4,2,1,2025-05-17,2025-06-28,3,105,4,Preventive,Yes,No,Scheduled
TDMS000789,AST010594,Feeder,C00082,79.3,Feeder Line,Feeder fault,Low,2,2,2,2025-06-03,2025-07-02,0,146,4,Preventive,No,Yes,Completed
TDMS000790,AST009278,Feeder,C00067,83.3,Feeder Line,Feeder fault,Low,4,2,1,2025-06-18,2025-07-30,0,126,2,Preventive,Yes,Yes,Open
TDMS000791,AST009606,Pantograph Interaction Zone,C00067,48.2,Pantograph Interaction Zone,OHE wear,High,4,3,2,2025-06-28,2025-07-09,0,235,5,Corrective,Yes,Yes,Scheduled
TDMS000792,AST010842,Section Insulator,C00054,36.0,Section Insulator,Section insulator wear,Critical,2,4,3,2025-05-19,2025-05-23,39,106,3,Corrective,No,Yes,Open
TDMS000793,AST010171,OHE,C00003,8.3,Overhead Equipment,OHE wear,Critical,5,4,4,2025-06-19,2025-06-24,7,204,2,Corrective,Yes,Yes,Open
TDMS000794,AST010807,Jumper,C00017,3.6,Jumper Wire,Loose jumper,High,2,3,1,2025-05-31,2025-06-10,21,67,2,Corrective,Yes,Yes,Open
TDMS000795,AST008902,Insulator,C00002,26.8,Insulator,Insulator defect,High,4,3,1,2025-06-27,2025-07-08,0,107,3,Corrective,No,Yes,Completed
TDMS000796,AST009346,Pantograph Interaction Zone,C00038,101.1,Pantograph Interaction Zone,OHE wear,Critical,4,5,4,2025-05-21,2025-05-24,38,167,3,Corrective,Yes,No,In Progress
TDMS000797,AST008661,Section Insulator,C00034,25.6,Section Insulator,Section insulator wear,Medium,3,2,3,2025-06-27,2025-07-14,0,60,1,Preventive,Yes,No,Deferred
TDMS000798,AST009219,OHE,C00092,26.5,Overhead Equipment,OHE wear,High,4,5,3,2025-06-17,2025-06-25,6,211,4,Corrective,Yes,Yes,Open
TDMS000799,AST009135,Pantograph Interaction Zone,C00011,162.9,Pantograph Interaction Zone,OHE wear,Critical,3,4,5,2025-06-16,2025-06-20,11,195,3,Corrective,Yes,Yes,Deferred
TDMS000800,AST009100,Feeder,C00090,64.6,Feeder Line,Feeder fault,Low,2,2,2,2025-03-14,2025-05-07,55,150,5,Preventive,Yes,Yes,In Progress
TDMS000801,AST009682,Pantograph Interaction Zone,C00031,66.5,Pantograph Interaction Zone,OHE wear,Medium,3,3,3,2025-03-30,2025-04-18,74,191,4,Preventive,No,Yes,Open
TDMS000802,AST010058,Feeder,C00059,116.0,Feeder Line,Feeder fault,Low,1,2,1,2025-06-27,2025-08-03,0,192,4,Preventive,Yes,Yes,Open
TDMS000803,AST010282,Feeder,C00100,6.7,Feeder Line,Feeder fault,Medium,2,2,2,2025-04-25,2025-05-15,47,117,2,Preventive,Yes,Yes,Scheduled
TDMS000804,AST011325,OHE,C00033,38.5,Overhead Equipment,Preventive OHE maintenance,Medium,4,3,3,2025-04-15,2025-05-09,53,161,5,Preventive,Yes,Yes,Scheduled
TDMS000805,AST009713,Jumper,C00018,66.0,Jumper Wire,Loose jumper,Medium,2,2,1,2025-06-25,2025-07-10,0,85,2,Preventive,Yes,Yes,Completed
TDMS000806,AST010546,Feeder,C00094,2.8,Feeder Line,Feeder fault,Medium,3,3,3,2025-06-10,2025-06-26,5,214,5,Preventive,Yes,Yes,Open
TDMS000807,AST010466,Transformer,C00004,27.3,Traction Transformer,Transformer inspection,Critical,4,5,4,2025-06-17,2025-06-20,0,255,5,Inspection,No,Yes,Completed
TDMS000808,AST009567,OHE,C00088,97.4,Overhead Equipment,Preventive OHE maintenance,Medium,2,3,3,2025-03-31,2025-04-22,70,62,3,Preventive,Yes,No,Open
TDMS000809,AST009431,Section Insulator,C00082,102.4,Section Insulator,Section insulator wear,Medium,3,2,2,2025-06-19,2025-07-09,0,108,2,Preventive,No,Yes,Open
TDMS000810,AST011790,Transformer,C00078,74.9,Traction Transformer,Transformer inspection,High,3,4,4,2025-06-19,2025-06-29,0,287,4,Inspection,Yes,Yes,Completed
TDMS000811,AST010938,Mast,C00077,8.3,OHE Mast,Mast defect,Low,3,1,2,2025-06-21,2025-08-05,0,152,4,Preventive,No,No,Open
TDMS000812,AST011182,Catenary,C00096,72.8,Catenary Wire,Catenary sag,Low,2,2,2,2025-03-16,2025-04-20,72,249,4,Preventive,Yes,Yes,Open
TDMS000813,AST011789,Transformer,C00024,2.3,Traction Transformer,Transformer inspection,Medium,3,3,3,2025-06-05,2025-06-21,10,165,6,Inspection,No,Yes,Open
TDMS000814,AST008726,Insulator,C00043,15.8,Insulator,Insulator defect,Medium,3,2,1,2025-06-10,2025-07-01,0,110,3,Preventive,Yes,Yes,Completed
TDMS000815,AST009579,Pantograph Interaction Zone,C00025,327.2,Pantograph Interaction Zone,OHE wear,Medium,4,3,2,2025-05-07,2025-05-26,36,98,3,Preventive,No,Yes,Scheduled
TDMS000816,AST008691,Feeder,C00094,3.2,Feeder Line,Feeder fault,Medium,4,3,2,2025-06-25,2025-07-20,0,188,3,Preventive,Yes,Yes,Open
TDMS000817,AST011695,Insulator,C00058,10.1,Insulator,Insulator defect,High,3,4,1,2025-06-28,2025-07-07,0,157,4,Corrective,Yes,Yes,In Progress
TDMS000818,AST010886,Jumper,C00069,32.5,Jumper Wire,Loose jumper,Medium,4,2,2,2025-06-17,2025-07-08,0,32,5,Preventive,Yes,Yes,Deferred
TDMS000819,AST009152,Mast,C00059,96.1,OHE Mast,Mast defect,Low,2,2,2,2025-06-24,2025-07-27,0,98,1,Preventive,Yes,No,Open
TDMS000820,AST011206,OHE,C00004,63.5,Overhead Equipment,Preventive OHE maintenance,Medium,3,2,2,2025-05-05,2025-05-26,36,138,3,Preventive,Yes,Yes,Open
TDMS000821,AST011601,Jumper,C00081,4.5,Jumper Wire,Loose jumper,Medium,3,3,2,2025-06-24,2025-07-15,0,40,3,Preventive,Yes,Yes,Completed
TDMS000822,AST009952,Catenary,C00086,164.4,Catenary Wire,Catenary sag,Critical,2,5,4,2025-05-21,2025-05-23,39,229,4,Corrective,Yes,Yes,Deferred
TDMS000823,AST010036,Insulator,C00024,10.2,Insulator,Insulator defect,Low,3,2,1,2025-06-21,2025-08-11,0,82,3,Preventive,Yes,Yes,Completed
TDMS000824,AST008911,Pantograph Interaction Zone,C00047,17.3,Pantograph Interaction Zone,OHE wear,Low,2,2,2,2025-06-18,2025-07-31,0,204,4,Preventive,Yes,Yes,In Progress
TDMS000825,AST010093,Transformer,C00082,19.4,Traction Transformer,Transformer inspection,Medium,4,2,2,2025-06-16,2025-07-03,0,239,4,Inspection,Yes,Yes,Open
TDMS000826,AST010754,Mast,C00064,84.6,OHE Mast,Mast defect,Low,1,2,2,2025-06-24,2025-08-05,0,159,5,Preventive,No,Yes,Open
TDMS000827,AST010605,Feeder,C00093,59.1,Feeder Line,Feeder fault,Critical,4,5,4,2025-06-22,2025-06-25,6,168,5,Corrective,Yes,No,Open
TDMS000828,AST010485,Feeder,C00001,0.4,Feeder Line,Feeder fault,High,5,5,2,2025-06-25,2025-07-06,0,147,2,Corrective,Yes,Yes,Open
TDMS000829,AST009744,Section Insulator,C00094,14.4,Section Insulator,Section insulator wear,Medium,4,3,2,2025-06-19,2025-07-09,0,142,3,Preventive,No,Yes,Completed
TDMS000830,AST010463,OHE,C00072,50.4,Overhead Equipment,OHE wear,Low,1,3,1,2025-05-06,2025-06-18,13,171,4,Preventive,No,No,Scheduled
TDMS000831,AST011942,Feeder,C00024,83.8,Feeder Line,Feeder fault,Low,4,2,2,2025-06-05,2025-07-12,0,141,2,Preventive,Yes,Yes,Open
TDMS000832,AST010987,Mast,C00022,132.1,OHE Mast,Mast defect,Medium,2,3,2,2025-04-02,2025-04-26,66,119,2,Preventive,No,Yes,Open
TDMS000833,AST009623,OHE,C00027,63.8,Overhead Equipment,Preventive OHE maintenance,Medium,3,3,2,2025-06-29,2025-07-18,0,163,3,Preventive,No,Yes,Scheduled
TDMS000834,AST011665,OHE,C00010,29.9,Overhead Equipment,Preventive OHE maintenance,Low,3,1,1,2025-06-23,2025-08-06,0,50,4,Preventive,Yes,Yes,Scheduled
TDMS000835,AST011998,Pantograph Interaction Zone,C00068,68.0,Pantograph Interaction Zone,OHE wear,Critical,4,5,3,2025-06-29,2025-07-05,0,205,4,Corrective,Yes,No,Open
TDMS000836,AST010962,OHE,C00015,174.0,Overhead Equipment,OHE wear,High,4,3,2,2025-05-25,2025-06-04,0,202,4,Corrective,Yes,Yes,Completed
TDMS000837,AST010279,Insulator,C00060,13.0,Insulator,Insulator defect,High,2,5,3,2025-04-23,2025-05-04,58,171,2,Corrective,Yes,No,In Progress
TDMS000838,AST008823,Jumper,C00019,86.7,Jumper Wire,Loose jumper,Low,2,2,1,2025-06-28,2025-08-07,0,67,3,Preventive,Yes,Yes,Open
TDMS000839,AST010558,Transformer,C00081,71.4,Traction Transformer,Transformer inspection,High,4,4,2,2025-06-03,2025-06-12,0,246,5,Inspection,Yes,Yes,Completed
TDMS000840,AST011536,Mast,C00089,56.3,OHE Mast,Mast defect,Low,3,3,1,2025-05-24,2025-07-10,0,128,5,Preventive,No,Yes,Open
TDMS000841,AST010415,Insulator,C00062,54.4,Insulator,Insulator defect,Critical,3,5,3,2025-06-16,2025-06-19,0,109,4,Corrective,Yes,Yes,Completed
TDMS000842,AST011201,Pantograph Interaction Zone,C00097,12.9,Pantograph Interaction Zone,OHE wear,High,3,4,2,2025-06-28,2025-07-08,0,179,2,Corrective,Yes,Yes,Open
TDMS000843,AST011651,Catenary,C00071,9.8,Catenary Wire,Catenary sag,High,4,4,2,2025-04-27,2025-05-08,54,155,2,Corrective,Yes,Yes,Open
TDMS000844,AST009650,Transformer,C00093,21.3,Traction Transformer,Transformer inspection,Medium,3,3,2,2025-06-06,2025-06-25,6,176,4,Inspection,Yes,Yes,Scheduled
TDMS000845,AST011226,Mast,C00072,71.9,OHE Mast,Mast defect,Medium,4,1,3,2025-06-05,2025-06-30,1,116,4,Preventive,No,Yes,Open
TDMS000846,AST011302,OHE,C00046,1.6,Overhead Equipment,OHE wear,Low,3,1,2,2025-03-18,2025-04-19,73,249,5,Preventive,Yes,Yes,Scheduled
TDMS000847,AST011648,Feeder,C00004,82.3,Feeder Line,Feeder fault,Medium,3,2,3,2025-06-24,2025-07-11,0,217,3,Preventive,Yes,Yes,Open
TDMS000848,AST009921,OHE,C00044,45.3,Overhead Equipment,OHE wear,High,3,4,4,2025-06-17,2025-06-24,7,161,2,Corrective,No,Yes,Open
TDMS000849,AST009353,Feeder,C00016,9.3,Feeder Line,Feeder fault,Medium,4,2,2,2025-03-09,2025-04-03,89,133,3,Preventive,Yes,No,Open
TDMS000850,AST009904,Mast,C00068,85.4,OHE Mast,Mast defect,Medium,3,3,2,2025-06-14,2025-07-04,0,86,2,Preventive,No,Yes,In Progress
TDMS000851,AST010865,Jumper,C00028,124.7,Jumper Wire,Loose jumper,Medium,3,4,2,2025-05-17,2025-06-09,22,55,3,Preventive,Yes,Yes,In Progress
TDMS000852,AST009899,Catenary,C00035,32.0,Catenary Wire,Catenary sag,High,3,3,3,2025-06-29,2025-07-10,0,277,6,Corrective,Yes,Yes,Open
TDMS000853,AST011649,Feeder,C00011,152.2,Feeder Line,Feeder fault,Medium,2,2,1,2025-05-28,2025-06-18,13,170,3,Preventive,Yes,Yes,Scheduled
TDMS000854,AST011877,Transformer,C00043,12.5,Traction Transformer,Transformer inspection,Low,3,2,1,2025-05-31,2025-07-03,0,212,4,Inspection,Yes,Yes,Open
TDMS000855,AST009187,Jumper,C00074,13.7,Jumper Wire,Loose jumper,Critical,4,4,3,2025-06-11,2025-06-15,16,67,2,Corrective,No,Yes,Scheduled
TDMS000856,AST011735,Catenary,C00052,154.6,Catenary Wire,Catenary sag,Low,2,1,2,2025-06-28,2025-08-02,0,180,3,Preventive,Yes,Yes,Open
TDMS000857,AST009840,Mast,C00036,40.6,OHE Mast,Mast defect,High,1,3,3,2025-04-27,2025-05-07,55,102,2,Corrective,No,Yes,Open
TDMS000858,AST010010,Insulator,C00038,179.2,Insulator,Insulator defect,Low,3,2,2,2025-06-06,2025-07-19,0,36,3,Preventive,Yes,Yes,Open
TDMS000859,AST009530,Pantograph Interaction Zone,C00077,7.8,Pantograph Interaction Zone,OHE wear,High,5,4,2,2025-05-26,2025-06-04,27,165,3,Corrective,Yes,Yes,Open
TDMS000860,AST009219,OHE,C00092,26.5,Overhead Equipment,Preventive OHE maintenance,Medium,2,2,1,2025-06-27,2025-07-14,0,146,5,Preventive,Yes,Yes,Completed
TDMS000861,AST011053,Catenary,C00053,109.1,Catenary Wire,Catenary sag,High,5,4,3,2025-06-18,2025-06-26,5,227,4,Corrective,Yes,Yes,Open
TDMS000862,AST011125,Section Insulator,C00091,156.4,Section Insulator,Section insulator wear,High,5,3,3,2025-06-22,2025-07-02,0,44,2,Corrective,Yes,Yes,Open
