task_id,department,asset_id,asset_type,corridor_id,location_km,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,overdue_days,estimated_duration_min,required_team_size,possession_required,maintenance_type,status,urgency_score,risk_score,asset_downtime_risk,maintenance_priority_score
TMS004899,Engineering,AST001935,Rail,C00080,51.4,Track geometry defect,Low,2,1,2,0,211,3,Yes,Preventive,Scheduled,5.0,17.8,32,21.1
TMS004900,Engineering,AST003895,Ballast,C00003,18.1,Alignment defect,High,4,3,2,86,204,2,Yes,Corrective,Scheduled,100.0,60.8,58,65.5
TMS004901,Engineering,AST001278,Track,C00034,34.1,Sleeper damage,Low,3,1,2,28,121,4,Yes,Preventive,Open,47.0,17.8,34,30.8
TMS004902,Engineering,AST001620,Bridge,C00024,50.2,Corrective maintenance,High,4,5,3,0,212,4,Yes,Corrective,Scheduled,25.0,88.8,42,56.7
TMS004903,Engineering,AST000075,Turnout,C00044,23.4,Sleeper damage,Medium,4,2,1,0,157,2,Yes,Preventive,Open,12.0,37.0,56,32.2
TMS004904,Engineering,AST004766,Weld,C00051,17.0,Preventive maintenance,High,4,3,3,9,41,1,Yes,Preventive,In Progress,38.5,60.8,56,51.1
TMS004905,Engineering,AST003799,Ballast,C00080,63.0,Scheduled inspection,Low,2,1,2,20,71,3,Yes,Inspection,Open,35.0,17.8,36,28.6
TMS004906,Engineering,AST003189,Crossing,C00087,108.4,Gauge defect,Medium,3,2,1,6,234,5,Yes,Preventive,Open,21.0,37.0,48,32.0
TMS004907,Engineering,AST002807,Turnout,C00059,24.9,Scheduled inspection,Medium,4,3,2,18,76,3,Yes,Inspection,Deferred,39.0,51.0,56,46.6
TMS004908,Engineering,AST000634,Weld,C00036,21.8,Weld defect,Medium,3,3,2,0,118,3,No,Preventive,Completed,12.0,51.0,66,43.2
TMS004909,Engineering,AST003608,Crossing,C00096,53.6,Rail crack,Low,4,1,2,0,209,4,Yes,Preventive,Open,5.0,17.8,44,24.1
TMS004910,Engineering,AST001983,Weld,C00072,57.0,Ballast deficiency,High,3,3,2,11,147,2,Yes,Corrective,Open,41.5,60.8,40,45.0
TMS004911,Engineering,AST005090,Crossing,C00009,26.1,Scheduled inspection,Low,2,2,1,0,82,4,Yes,Inspection,Completed,5.0,31.8,28,23.3
TMS004912,Engineering,AST000940,Turnout,C00047,24.4,Rail wear,High,4,4,4,0,167,4,Yes,Corrective,Completed,25.0,74.8,58,57.5
TMS004913,Engineering,AST002755,Switch,C00080,52.5,Gauge defect,Low,2,3,1,0,178,4,Yes,Preventive,Open,5.0,45.8,34,30.5
TMS004914,Engineering,AST004429,Turnout,C00039,9.1,Rail crack,High,3,4,2,0,234,3,Yes,Corrective,Completed,25.0,74.8,38,46.9
TMS004915,Engineering,AST004329,Turnout,C00014,80.2,Rail wear,Low,3,2,1,21,220,4,Yes,Preventive,Open,36.5,31.8,60,37.9
TMS004916,Engineering,AST004006,Sleeper,C00037,9.3,Weld defect,High,2,4,3,0,163,4,Yes,Corrective,Completed,25.0,74.8,36,48.9
TMS004917,Engineering,AST001364,Bridge,C00081,60.4,Gauge defect,Low,3,1,2,0,184,1,Yes,Preventive,Open,5.0,17.8,68,29.5
TMS004918,Engineering,AST002687,Ballast,C00024,43.2,Rail crack,Critical,5,4,3,3,273,3,Yes,Corrective,Scheduled,44.5,86.0,38,55.4
TMS004919,Engineering,AST000830,Weld,C00029,81.4,Alignment defect,Medium,3,3,2,0,287,4,No,Preventive,Scheduled,12.0,51.0,64,42.8
TMS004920,Engineering,AST003503,Bridge,C00048,118.9,Scheduled inspection,Medium,4,3,1,76,35,3,No,Inspection,Deferred,100.0,51.0,44,55.2
TMS004921,Engineering,AST003029,Track,C00018,56.5,Weld defect,Medium,3,3,2,36,132,3,Yes,Preventive,Open,66.0,51.0,36,48.0
TMS004922,Engineering,AST001936,Weld,C00018,36.9,Alignment defect,Critical,4,4,4,21,138,3,Yes,Corrective,In Progress,71.5,86.0,64,70.2
TMS004923,Engineering,AST000960,Rail,C00036,12.1,Turnout wear,Low,3,3,2,4,225,6,Yes,Preventive,Scheduled,11.0,45.8,40,36.6
TMS004924,Engineering,AST000158,Track,C00051,7.3,Alignment defect,Critical,2,5,4,0,154,2,Yes,Corrective,Completed,40.0,100.0,28,60.8
TMS004925,Engineering,AST003000,Weld,C00053,107.9,Preventive maintenance,Low,2,3,2,0,88,4,Yes,Preventive,Open,5.0,45.8,44,36.1
TMS004926,Engineering,AST002106,Weld,C00062,2.3,Drainage issue,High,3,3,3,137,105,3,Yes,Corrective,In Progress,100.0,60.8,30,61.7
TMS004927,Engineering,AST004651,Weld,C00060,5.5,Rail wear,Medium,2,2,2,0,153,2,Yes,Preventive,Scheduled,12.0,37.0,42,31.8
TMS004928,Engineering,AST001788,Ballast,C00066,15.3,Drainage issue,High,3,4,1,62,194,3,Yes,Corrective,Open,100.0,74.8,22,59.5
TMS004929,Engineering,AST002118,Sleeper,C00032,0.6,Rail wear,Low,2,2,1,0,88,2,Yes,Preventive,Scheduled,5.0,31.8,68,33.1
TMS004930,Engineering,AST002087,Crossing,C00031,54.0,Rail crack,Medium,4,2,1,0,261,5,Yes,Preventive,Deferred,12.0,37.0,74,36.4
TMS004931,Engineering,AST004504,Bridge,C00033,95.3,Turnout wear,Medium,3,3,2,0,256,2,Yes,Preventive,Scheduled,12.0,51.0,48,39.0
TMS004932,Engineering,AST004758,Turnout,C00091,118.2,Rail crack,Critical,5,2,2,0,161,3,Yes,Corrective,Completed,40.0,58.0,66,46.2
TMS004933,Engineering,AST005278,Turnout,C00038,49.0,Turnout wear,Low,2,1,2,0,275,4,Yes,Preventive,Open,5.0,17.8,56,26.5
TMS004934,Engineering,AST000896,Rail,C00057,125.7,Scheduled inspection,High,3,3,3,2,75,3,No,Inspection,Scheduled,28.0,60.8,46,46.2
TMS004935,Engineering,AST003835,Rail,C00021,95.8,Gauge defect,Critical,3,3,4,0,203,4,Yes,Corrective,Completed,40.0,72.0,32,49.6
TMS004936,Engineering,AST002257,Crossing,C00006,10.7,Track geometry defect,High,3,2,4,0,180,4,Yes,Corrective,In Progress,25.0,46.8,52,44.3
TMS004937,Engineering,AST004469,Crossing,C00094,20.2,Ballast deficiency,Low,2,1,2,0,137,2,Yes,Preventive,Open,5.0,17.8,62,28.3
TMS004938,Engineering,AST000956,Crossing,C00072,89.6,Weld defect,Low,3,2,2,0,136,2,Yes,Preventive,Open,5.0,31.8,54,32.7
TMS004939,Engineering,AST004073,Turnout,C00001,140.7,Sleeper damage,Medium,3,2,2,0,161,4,No,Preventive,Deferred,12.0,37.0,66,37.2
TMS004940,Engineering,AST002710,Switch,C00015,150.9,Turnout wear,Medium,4,2,2,0,254,4,No,Preventive,Open,12.0,37.0,40,31.4
TMS004941,Engineering,AST004043,Sleeper,C00008,112.2,Drainage issue,Low,3,1,1,0,68,4,Yes,Preventive,Completed,5.0,17.8,30,17.7
TMS004942,Engineering,AST004284,Crossing,C00088,6.8,Rail wear,Low,2,2,2,34,87,4,Yes,Preventive,Open,56.0,31.8,36,39.8
TMS004943,Engineering,AST003966,Bridge,C00044,46.9,Scheduled inspection,Medium,2,3,2,51,102,4,Yes,Inspection,Open,88.5,51.0,40,53.8
TMS004944,Engineering,AST004042,Switch,C00004,55.2,Corrective maintenance,Medium,2,3,1,0,254,4,Yes,Corrective,Completed,12.0,51.0,34,32.6
TMS004945,Engineering,AST001166,Weld,C00039,20.7,Sleeper damage,Low,3,1,1,24,131,3,No,Preventive,Scheduled,41.0,17.8,68,35.1
TMS004946,Engineering,AST000802,Rail,C00097,7.7,Alignment defect,High,4,4,3,57,200,3,Yes,Corrective,Open,100.0,74.8,48,70.9
TMS004947,Engineering,AST004104,Bridge,C00076,66.5,Weld defect,Low,3,1,1,108,79,4,No,Preventive,Deferred,100.0,17.8,56,44.1
TMS004948,Engineering,AST003636,Turnout,C00021,135.4,Scheduled inspection,High,3,5,3,5,96,2,No,Inspection,Open,32.5,88.8,30,55.4
TMS004949,Engineering,AST004518,Switch,C00092,2.2,Preventive maintenance,Low,1,2,1,0,94,3,Yes,Preventive,Open,5.0,31.8,42,26.7
TMS004950,Engineering,AST001376,Bridge,C00038,102.9,Sleeper damage,Medium,4,2,2,3,130,2,Yes,Preventive,Scheduled,16.5,37.0,56,36.2
TMS004951,Engineering,AST001288,Track,C00037,44.6,Alignment defect,Low,2,2,1,0,239,4,Yes,Preventive,Open,5.0,31.8,48,27.9
TMS004952,Engineering,AST001705,Switch,C00011,184.5,Scheduled inspection,Low,4,2,1,0,75,4,No,Inspection,Open,5.0,31.8,80,35.5
TMS004953,Engineering,AST004660,Track,C00009,73.4,Alignment defect,Low,2,2,1,0,174,5,Yes,Preventive,Completed,5.0,31.8,38,25.9
TMS004954,Engineering,AST002554,Bridge,C00001,249.5,Turnout wear,Medium,2,2,1,0,224,4,Yes,Preventive,Open,12.0,37.0,38,28.0
TMS004955,Engineering,AST004579,Switch,C00048,63.4,Corrective maintenance,Medium,2,3,2,0,242,5,No,Corrective,Completed,12.0,51.0,42,37.8
TMS004956,Engineering,AST005206,Rail,C00089,58.1,Rail wear,Low,3,2,2,1,209,4,Yes,Preventive,Open,6.5,31.8,30,27.0
TMS004957,Engineering,AST004467,Switch,C00053,79.2,Preventive maintenance,Low,3,1,3,0,46,1,Yes,Preventive,Open,5.0,17.8,56,30.1
TMS004958,Engineering,AST003447,Ballast,C00095,74.8,Gauge defect,Critical,4,5,4,42,158,4,Yes,Corrective,Open,100.0,100.0,76,86.2
TMS004959,Engineering,AST003538,Ballast,C00082,45.1,Preventive maintenance,Low,2,2,2,0,53,3,Yes,Preventive,Scheduled,5.0,31.8,32,27.1
TMS004960,Engineering,AST002612,Sleeper,C00016,38.0,Drainage issue,Medium,3,1,3,6,61,2,Yes,Preventive,Open,21.0,23.0,70,37.6
TMS004961,Engineering,AST000406,Switch,C00074,2.7,Sleeper damage,Low,2,2,2,0,78,3,Yes,Preventive,Completed,5.0,31.8,22,24.5
TMS004962,Engineering,AST001580,Track,C00022,142.9,Track geometry defect,Low,2,1,2,0,183,4,Yes,Preventive,Scheduled,5.0,17.8,32,21.1
TMS004963,Engineering,AST002115,Bridge,C00053,86.7,Drainage issue,High,3,4,3,0,124,2,Yes,Corrective,Completed,25.0,74.8,50,52.9
TMS004964,Engineering,AST005006,Weld,C00018,63.0,Gauge defect,Low,2,3,2,9,206,5,Yes,Preventive,Open,18.5,45.8,32,36.1
TMS004965,Engineering,AST000879,Sleeper,C00097,26.7,Rail wear,Medium,2,3,4,3,187,4,Yes,Preventive,Scheduled,16.5,51.0,46,45.6
TMS004966,Engineering,AST000328,Weld,C00019,93.5,Drainage issue,Medium,5,1,1,3,95,2,Yes,Preventive,Open,16.5,23.0,70,30.6
TMS004967,Engineering,AST001873,Bridge,C00042,32.9,Track geometry defect,Low,1,2,1,0,221,5,Yes,Preventive,Completed,5.0,31.8,36,24.9
TMS004968,Engineering,AST003393,Sleeper,C00010,34.4,Weld defect,Medium,2,3,1,44,172,5,Yes,Preventive,Open,78.0,51.0,70,55.7
TMS004969,Engineering,AST004823,Bridge,C00060,24.9,Gauge defect,Low,3,2,1,0,177,3,Yes,Preventive,In Progress,5.0,31.8,74,34.3
TMS004970,Engineering,AST000933,Ballast,C00004,69.0,Alignment defect,Medium,3,3,2,0,160,2,Yes,Preventive,Deferred,12.0,51.0,56,40.6
TMS004971,Engineering,AST000170,Switch,C00045,91.0,Alignment defect,Low,2,2,1,0,256,4,Yes,Preventive,Scheduled,5.0,31.8,50,28.3
TMS004972,Engineering,AST001040,Weld,C00081,78.8,Rail wear,High,3,4,3,135,168,3,Yes,Corrective,Open,100.0,74.8,48,71.3
TMS004973,Engineering,AST000375,Switch,C00069,171.0,Turnout wear,Low,2,1,1,0,203,3,Yes,Preventive,Scheduled,5.0,17.8,34,18.5
TMS004974,Engineering,AST001569,Weld,C00057,86.0,Alignment defect,Low,2,1,2,0,163,4,Yes,Preventive,Scheduled,5.0,17.8,34,21.5
TMS004975,Engineering,AST001525,Crossing,C00006,12.8,Gauge defect,Medium,4,3,2,18,121,2,Yes,Preventive,Scheduled,39.0,51.0,62,48.4
TMS004976,Engineering,AST002110,Switch,C00071,12.5,Preventive maintenance,Low,1,2,1,0,40,3,Yes,Preventive,Completed,5.0,31.8,46,27.5
TMS004977,Engineering,AST003540,Ballast,C00027,27.8,Preventive maintenance,High,3,4,2,26,84,5,Yes,Preventive,Scheduled,64.0,74.8,60,60.0
TMS004978,Engineering,AST001999,Switch,C00025,211.8,Sleeper damage,Low,4,1,1,0,158,3,Yes,Preventive,Completed,5.0,17.8,58,24.5
TMS004979,Engineering,AST000217,Rail,C00035,57.8,Sleeper damage,High,3,4,2,26,54,5,Yes,Corrective,Scheduled,64.0,74.8,56,59.8
TMS004980,Engineering,AST002507,Bridge,C00025,142.2,Track geometry defect,Low,2,1,1,0,149,5,Yes,Preventive,Completed,5.0,17.8,28,17.3
TMS004981,Engineering,AST002394,Crossing,C00013,19.1,Alignment defect,Medium,2,3,1,0,205,3,Yes,Preventive,In Progress,12.0,51.0,30,31.8
TMS004982,Engineering,AST003766,Rail,C00046,12.5,Drainage issue,Low,2,2,1,10,136,4,Yes,Preventive,Open,20.0,31.8,62,34.6
TMS004983,Engineering,AST002824,Bridge,C00006,0.5,Preventive maintenance,Low,2,2,1,0,89,1,Yes,Preventive,Deferred,5.0,31.8,46,27.5
TMS004984,Engineering,AST002544,Sleeper,C00014,33.7,Rail wear,Medium,3,2,2,0,121,3,Yes,Preventive,Completed,12.0,37.0,36,30.0
TMS004985,Engineering,AST002873,Track,C00075,115.9,Gauge defect,Medium,2,3,2,0,137,4,Yes,Preventive,Open,12.0,51.0,50,39.4
TMS004986,Engineering,AST004152,Sleeper,C00099,8.0,Track geometry defect,High,2,4,3,3,199,4,Yes,Corrective,Scheduled,29.5,74.8,26,47.3
TMS004987,Engineering,AST004172,Bridge,C00086,244.1,Ballast deficiency,Low,2,3,1,14,117,4,Yes,Preventive,Open,26.0,45.8,30,34.4
TMS004988,Engineering,AST001302,Crossing,C00047,51.4,Scheduled inspection,Medium,2,2,3,0,62,3,No,Inspection,Completed,12.0,37.0,32,32.2
TMS004989,Engineering,AST003780,Crossing,C00021,83.6,Corrective maintenance,Medium,2,1,2,94,227,2,Yes,Corrective,Open,100.0,23.0,38,44.4
TMS004990,Engineering,AST000721,Sleeper,C00080,73.1,Track geometry defect,Low,2,2,2,77,230,4,Yes,Preventive,Scheduled,100.0,31.8,40,48.7
TMS004991,Engineering,AST004376,Turnout,C00098,3.9,Turnout wear,Low,2,3,2,0,158,4,Yes,Preventive,Open,5.0,45.8,34,33.5
TMS004992,Engineering,AST001722,Track,C00020,76.2,Scheduled inspection,Low,2,2,1,90,85,2,Yes,Inspection,Deferred,100.0,31.8,30,43.7
TMS004993,Engineering,AST004494,Sleeper,C00013,12.0,Weld defect,Medium,3,4,2,13,105,1,Yes,Preventive,Open,31.5,65.0,38,46.7
TMS004994,Engineering,AST002843,Turnout,C00015,77.1,Turnout wear,High,3,3,3,41,225,5,Yes,Corrective,Scheduled,86.5,60.8,48,59.6
TMS004995,Engineering,AST003194,Track,C00073,135.9,Corrective maintenance,Low,2,1,1,0,267,3,Yes,Corrective,Scheduled,5.0,17.8,30,17.7
TMS004996,Engineering,AST002388,Turnout,C00045,103.4,Preventive maintenance,Medium,2,2,1,0,73,4,Yes,Preventive,Open,12.0,37.0,20,23.2
TMS004997,Engineering,AST001064,Track,C00065,11.6,Alignment defect,Low,2,2,1,6,170,4,Yes,Preventive,Scheduled,14.0,31.8,78,37.1
TMS004998,Engineering,AST002798,Ballast,C00040,3.5,Ballast deficiency,High,2,4,3,26,110,3,Yes,Corrective,Scheduled,64.0,74.8,28,55.4
TMS004999,Engineering,AST003463,Weld,C00033,41.1,Preventive maintenance,Low,2,2,2,0,100,2,Yes,Preventive,Scheduled,5.0,31.8,40,29.3
TMS005000,Engineering,AST002391,Rail,C00046,0.5,Sleeper damage,Medium,2,2,3,0,85,2,Yes,Preventive,Scheduled,12.0,37.0,62,39.4
TMS005001,Engineering,AST000685,Weld,C00098,3.8,Scheduled inspection,Low,4,1,1,56,124,2,Yes,Inspection,In Progress,89.0,17.8,58,43.2
TMS005002,Engineering,AST003302,Bridge,C00088,37.5,Track geometry defect,Medium,3,2,2,0,205,5,Yes,Preventive,Completed,12.0,37.0,66,37.8
TMS005003,Engineering,AST002565,Bridge,C00040,54.7,Sleeper damage,High,3,3,4,22,147,1,Yes,Corrective,In Progress,58.0,60.8,52,56.4
TMS005004,Engineering,AST000163,Track,C00033,61.0,Weld defect,Low,3,2,2,1,115,3,Yes,Preventive,Deferred,6.5,31.8,42,30.0
TMS005005,Engineering,AST003345,Switch,C00006,2.9,Rail wear,Low,3,2,2,10,125,3,Yes,Preventive,Open,20.0,31.8,52,35.6
TMS005006,Engineering,AST002435,Sleeper,C00022,115.5,Ballast deficiency,Medium,2,3,2,0,128,4,Yes,Preventive,Completed,12.0,51.0,16,31.4
TMS005007,Engineering,AST002810,Ballast,C00041,9.7,Scheduled inspection,Low,2,1,1,0,75,3,Yes,Inspection,Completed,5.0,17.8,58,23.9
TMS005008,Engineering,AST001653,Ballast,C00039,21.5,Weld defect,Critical,4,4,2,5,58,3,Yes,Corrective,Open,47.5,86.0,48,55.1
TMS005009,Engineering,AST003756,Rail,C00060,30.0,Turnout wear,Low,1,3,1,0,213,3,Yes,Preventive,Completed,5.0,45.8,46,33.5
TMS005010,Engineering,AST000329,Track,C00082,23.7,Corrective maintenance,Low,3,1,4,0,168,3,Yes,Corrective,Completed,5.0,17.8,52,32.3
TMS005011,Engineering,AST003689,Sleeper,C00047,29.7,Sleeper damage,Medium,2,3,3,0,84,3,Yes,Preventive,Completed,12.0,51.0,24,36.0
TMS005012,Engineering,AST002087,Crossing,C00031,54.0,Gauge defect,Low,3,2,2,0,135,4,Yes,Preventive,Scheduled,5.0,31.8,74,37.3
TMS005013,Engineering,AST004849,Rail,C00033,10.9,Drainage issue,High,2,3,3,0,108,4,Yes,Corrective,Open,25.0,60.8,20,39.1
TMS005014,Engineering,AST002411,Track,C00084,246.7,Alignment defect,Medium,2,2,2,0,143,6,Yes,Preventive,Completed,12.0,37.0,28,28.4
TMS005015,Engineering,AST003631,Switch,C00007,131.3,Ballast deficiency,High,2,3,2,7,116,4,Yes,Corrective,Scheduled,35.5,60.8,52,46.0
TMS005016,Engineering,AST002572,Turnout,C00012,80.4,Rail wear,Medium,3,4,1,0,94,3,Yes,Preventive,In Progress,12.0,65.0,26,36.4
TMS005017,Engineering,AST004530,Sleeper,C00085,157.4,Preventive maintenance,Critical,4,4,3,21,58,3,Yes,Preventive,Open,71.5,86.0,40,61.8
TMS005018,Engineering,AST002311,Ballast,C00024,47.3,Weld defect,High,3,3,2,0,216,5,Yes,Corrective,Completed,25.0,60.8,24,37.5
TMS005019,Engineering,AST000045,Ballast,C00094,10.0,Ballast deficiency,Low,2,1,2,64,85,4,Yes,Preventive,Open,100.0,17.8,50,45.9
TMS005020,Engineering,AST002973,Bridge,C00065,53.1,Track geometry defect,Low,1,2,1,0,244,4,No,Preventive,Open,5.0,31.8,36,25.5
TMS005021,Engineering,AST000736,Turnout,C00014,25.6,Gauge defect,Low,2,1,1,0,60,2,Yes,Preventive,Scheduled,5.0,17.8,26,16.9
TMS005022,Engineering,AST004236,Sleeper,C00068,113.2,Preventive maintenance,High,4,3,2,0,132,4,Yes,Preventive,Completed,25.0,60.8,54,44.7
TMS005023,Engineering,AST004845,Sleeper,C00055,63.4,Corrective maintenance,Low,2,2,1,0,247,4,Yes,Corrective,Deferred,5.0,31.8,42,26.7
TMS005024,Engineering,AST001117,Switch,C00046,27.5,Alignment defect,Medium,3,1,2,0,239,6,Yes,Preventive,Deferred,12.0,23.0,66,31.2
TMS005025,Engineering,AST001516,Track,C00013,89.2,Turnout wear,Medium,2,2,2,0,276,2,Yes,Preventive,Open,12.0,37.0,28,28.4
TMS005026,Engineering,AST004740,Rail,C00069,78.3,Alignment defect,Low,3,2,1,55,237,3,Yes,Preventive,Open,87.5,31.8,48,46.8
TMS005027,Engineering,AST001135,Sleeper,C00041,26.9,Drainage issue,Medium,3,2,3,0,91,2,Yes,Preventive,Scheduled,12.0,37.0,64,39.8
TMS005028,Engineering,AST003507,Turnout,C00016,18.5,Weld defect,High,3,4,2,0,114,4,Yes,Corrective,Completed,25.0,74.8,52,49.7
TMS005029,Engineering,AST002526,Turnout,C00099,9.5,Turnout wear,High,3,4,2,0,166,7,Yes,Corrective,Scheduled,25.0,74.8,38,46.9
TMS005030,Engineering,AST004932,Ballast,C00073,11.7,Sleeper damage,Low,3,1,1,22,103,4,Yes,Preventive,Open,38.0,17.8,32,25.4
TMS005031,Engineering,AST003890,Bridge,C00034,29.0,Track geometry defect,Medium,3,4,2,0,171,3,Yes,Preventive,Scheduled,12.0,65.0,44,43.6
TMS005032,Engineering,AST003140,Track,C00099,3.8,Turnout wear,Low,4,2,1,69,270,3,Yes,Preventive,Open,100.0,31.8,56,50.1
TMS005033,Engineering,AST000263,Switch,C00064,85.5,Ballast deficiency,High,3,4,3,16,222,3,Yes,Corrective,Open,49.0,74.8,28,52.6
TMS005034,Engineering,AST004990,Weld,C00053,58.4,Alignment defect,High,4,4,3,0,261,5,Yes,Corrective,Completed,25.0,74.8,52,53.3
TMS005035,Engineering,AST002596,Crossing,C00003,61.4,Sleeper damage,Medium,3,3,1,0,117,3,Yes,Preventive,Open,12.0,51.0,68,41.2
TMS005036,Engineering,AST003280,Switch,C00089,38.2,Gauge defect,Medium,2,2,2,80,114,3,Yes,Preventive,Open,100.0,37.0,24,47.0
TMS005037,Engineering,AST002535,Switch,C00085,136.8,Alignment defect,Low,2,2,2,0,215,5,Yes,Preventive,Completed,5.0,31.8,42,29.1
TMS005038,Engineering,AST001815,Weld,C00098,2.6,Sleeper damage,Low,2,2,2,72,106,2,Yes,Preventive,Scheduled,100.0,31.8,52,51.7
TMS005039,Engineering,AST003168,Rail,C00079,20.0,Drainage issue,Low,1,2,1,0,36,2,Yes,Preventive,Open,5.0,31.8,44,27.1
TMS005040,Engineering,AST001881,Weld,C00038,154.8,Rail wear,Low,3,2,2,0,211,3,Yes,Preventive,Completed,5.0,31.8,50,31.9
TMS005041,Engineering,AST004802,Rail,C00045,29.7,Gauge defect,Medium,1,2,1,0,240,5,Yes,Preventive,Completed,12.0,37.0,22,23.6
TMS005042,Engineering,AST004989,Crossing,C00077,6.0,Weld defect,Low,2,2,3,0,61,2,Yes,Preventive,Open,5.0,31.8,54,35.7
TMS005043,Engineering,AST005047,Crossing,C00005,77.0,Weld defect,Medium,4,2,3,0,137,3,No,Preventive,Completed,12.0,37.0,44,35.2
TMS005044,Engineering,AST002153,Bridge,C00016,21.1,Rail crack,Critical,4,5,4,113,194,3,Yes,Corrective,Open,100.0,100.0,50,86.4
TMS005045,Engineering,AST001615,Bridge,C00090,49.5,Turnout wear,Medium,2,3,3,115,180,4,No,Preventive,Open,100.0,51.0,38,60.0
TMS005046,Engineering,AST000076,Switch,C00063,71.0,Sleeper damage,Medium,3,2,1,0,167,3,Yes,Preventive,Open,12.0,37.0,30,25.8
TMS005047,Engineering,AST000603,Track,C00002,100.8,Track geometry defect,Critical,4,5,4,85,177,2,Yes,Corrective,Open,100.0,100.0,76,92.2
TMS005048,Engineering,AST001359,Turnout,C00070,3.7,Alignment defect,Medium,3,3,3,125,181,3,Yes,Preventive,Deferred,100.0,51.0,46,61.6
TMS005049,Engineering,AST000837,Crossing,C00013,67.9,Scheduled inspection,Low,3,2,1,3,34,3,Yes,Inspection,Open,9.5,31.8,32,25.1
TMS005050,Engineering,AST004677,Sleeper,C00053,58.4,Weld defect,Low,2,2,2,98,144,3,No,Preventive,Open,100.0,31.8,52,52.3
TMS005051,Engineering,AST004756,Ballast,C00015,28.0,Ballast deficiency,Medium,3,2,2,0,140,4,Yes,Preventive,Scheduled,12.0,37.0,58,35.6
TMS005052,Engineering,AST005049,Sleeper,C00008,16.1,Scheduled inspection,Medium,2,3,1,31,69,3,Yes,Inspection,Open,58.5,51.0,48,46.3
TMS005053,Engineering,AST002772,Switch,C00021,42.3,Corrective maintenance,Medium,3,2,2,19,240,2,Yes,Corrective,Open,40.5,37.0,36,36.3
TMS005054,Engineering,AST000833,Switch,C00060,13.8,Scheduled inspection,Low,4,1,1,63,49,3,No,Inspection,In Progress,99.5,17.8,70,46.9
TMS005055,Engineering,AST002032,Crossing,C00084,303.3,Gauge defect,Low,1,1,2,0,68,1,Yes,Preventive,Completed,5.0,17.8,18,17.7
TMS005056,Engineering,AST000468,Sleeper,C00028,58.1,Gauge defect,Low,3,2,1,16,199,4,Yes,Preventive,Scheduled,29.0,31.8,38,31.2
TMS005057,Engineering,AST001523,Ballast,C00055,24.5,Turnout wear,High,3,4,1,9,275,6,Yes,Corrective,Open,38.5,74.8,60,51.9
TMS005058,Engineering,AST000096,Bridge,C00072,50.3,Rail wear,Low,2,2,2,39,86,1,Yes,Preventive,Open,63.5,31.8,54,45.7
TMS005059,Engineering,AST003826,Rail,C00037,83.6,Gauge defect,High,4,3,2,41,112,5,Yes,Corrective,Open,86.5,60.8,58,59.2
TMS005060,Engineering,AST004266,Bridge,C00009,12.6,Track geometry defect,Low,4,2,1,0,193,4,Yes,Preventive,Scheduled,5.0,31.8,62,31.3
TMS005061,Engineering,AST004409,Rail,C00088,75.0,Track geometry defect,High,4,4,3,0,209,5,Yes,Corrective,Completed,25.0,74.8,52,53.3
TMS005062,Engineering,AST003138,Weld,C00077,20.5,Sleeper damage,High,5,4,3,12,154,3,Yes,Corrective,Open,43.0,74.8,56,58.1
TMS005063,Engineering,AST003620,Rail,C00087,14.4,Alignment defect,Medium,2,4,1,0,211,3,No,Preventive,Scheduled,12.0,65.0,32,38.2
TMS005064,Engineering,AST004507,Switch,C00070,30.1,Rail crack,Low,2,2,1,0,218,4,Yes,Preventive,Open,5.0,31.8,32,24.1
TMS005065,Engineering,AST000053,Ballast,C00014,78.3,Alignment defect,Low,2,1,1,65,149,3,Yes,Preventive,Open,100.0,17.8,60,44.9
TMS005066,Engineering,AST002004,Rail,C00058,71.2,Corrective maintenance,Low,4,1,2,0,218,3,Yes,Corrective,Scheduled,5.0,17.8,54,26.7
TMS005067,Engineering,AST004928,Turnout,C00099,9.1,Ballast deficiency,Low,2,1,2,0,200,4,Yes,Preventive,Open,5.0,17.8,48,24.9
TMS005068,Engineering,AST000338,Crossing,C00066,0.2,Track geometry defect,Medium,2,2,2,0,161,4,Yes,Preventive,Completed,12.0,37.0,26,27.4
TMS005069,Engineering,AST003082,Switch,C00043,0.6,Track geometry defect,Low,4,2,2,0,182,4,Yes,Preventive,Completed,5.0,31.8,46,30.5
TMS005070,Engineering,AST001789,Weld,C00023,10.4,Corrective maintenance,High,3,4,2,120,345,5,Yes,Corrective,Scheduled,100.0,74.8,28,64.3
TMS005071,Engineering,AST003041,Weld,C00053,5.0,Corrective maintenance,High,2,4,2,0,201,4,No,Corrective,Completed,25.0,74.8,44,48.1
TMS005072,Engineering,AST002913,Sleeper,C00006,12.0,Alignment defect,Low,4,2,1,0,262,4,Yes,Preventive,In Progress,5.0,31.8,70,33.5
TMS005073,Engineering,AST003119,Weld,C00020,76.4,Alignment defect,Medium,3,2,1,0,128,2,Yes,Preventive,Scheduled,12.0,37.0,40,27.8
TMS005074,Engineering,AST000201,Ballast,C00003,54.9,Ballast deficiency,Low,4,2,2,0,80,4,No,Preventive,Open,5.0,31.8,56,33.1
TMS005075,Engineering,AST004750,Ballast,C00070,1.6,Alignment defect,Medium,2,2,1,0,166,3,Yes,Preventive,Completed,12.0,37.0,44,29.2
